Model,Variable,Coef,SE,t,p-value,CI_low,CI_high,Sig
Model 4,RACE_BLACK,0.1517,0.01,15.157,0.0,0.1321,0.1713,***
Model 4,RACE_HISPANIC,0.0592,0.0113,5.247,0.0,0.0371,0.0814,***
Model 4,RACE_OTHER,0.0589,0.0204,2.882,0.0039,0.0188,0.0989,**
Model 4,FEMALE,-0.5903,0.0214,-27.649,0.0,-0.6322,-0.5485,***
Model 4,RACE_BLACK:FEMALE,-0.3694,0.0401,-9.207,0.0,-0.448,-0.2907,***
Model 4,RACE_HISPANIC:FEMALE,-0.0231,0.0307,-0.754,0.4506,-0.0832,0.037,
Model 4,RACE_OTHER:FEMALE,0.0157,0.0565,0.277,0.7815,-0.0951,0.1265,
Model 4,AGE,-0.0081,0.0004,-22.056,0.0,-0.0088,-0.0074,***
Model 4,XFOLSOR,0.1203,0.0005,239.422,0.0,0.1194,0.1213,***
Model 4,XCRHISSR,0.2255,0.002,114.649,0.0,0.2216,0.2293,***
Model 4,XMINSOR,-0.0,0.0,-5.956,0.0,-0.0,-0.0,***
Model 4,MAND_MIN,0.6804,0.0389,17.494,0.0,0.6042,0.7566,***
Model 4,GUILTY_PLEA,-0.1958,0.0261,-7.492,0.0,-0.2471,-0.1446,***
Model 4,ACCEPT_RESP,-0.1657,0.0223,-7.442,0.0,-0.2093,-0.122,***
