Model,Variable,Coef,SE,t,p-value,CI_low,CI_high,Sig
Firearms,RACE_BLACK,0.156,0.0192,8.122,0.0,0.1183,0.1936,***
Firearms,RACE_HISPANIC,0.1345,0.0263,5.105,0.0,0.0829,0.1861,***
Firearms,RACE_OTHER,0.0932,0.0488,1.911,0.0561,-0.0024,0.1889,.
Firearms,FEMALE,-0.6198,0.0913,-6.786,0.0,-0.7988,-0.4408,***
Firearms,RACE_BLACK:FEMALE,-0.1526,0.1447,-1.054,0.2917,-0.4362,0.131,
Firearms,RACE_HISPANIC:FEMALE,-0.1029,0.1619,-0.635,0.5251,-0.4201,0.2144,
Firearms,RACE_OTHER:FEMALE,0.3777,0.2345,1.61,0.1073,-0.082,0.8373,
Firearms,AGE,-0.0084,0.0009,-9.606,0.0,-0.0101,-0.0067,***
Firearms,XFOLSOR,0.1171,0.0024,48.86,0.0,0.1124,0.1218,***
Firearms,XCRHISSR,0.2866,0.0054,53.369,0.0,0.2761,0.2971,***
Firearms,XMINSOR,-0.0004,0.0003,-1.471,0.1413,-0.001,0.0001,
Firearms,MAND_MIN,0.8275,0.2966,2.79,0.0053,0.2462,1.4089,**
Firearms,GUILTY_PLEA,-0.072,0.0546,-1.318,0.1874,-0.1791,0.0351,
Firearms,ACCEPT_RESP,-0.07,0.0431,-1.622,0.1047,-0.1545,0.0146,
