Model,Variable,Coef,SE,t,p-value,CI_low,CI_high,Sig
Fraud/Economic,RACE_BLACK,0.1249,0.0427,2.929,0.0034,0.0413,0.2085,**
Fraud/Economic,RACE_HISPANIC,0.0701,0.0529,1.325,0.1851,-0.0336,0.1737,
Fraud/Economic,RACE_OTHER,-0.0353,0.0731,-0.483,0.6289,-0.1786,0.1079,
Fraud/Economic,FEMALE,-0.1545,0.0553,-2.792,0.0052,-0.2629,-0.046,**
Fraud/Economic,RACE_BLACK:FEMALE,-0.4669,0.0843,-5.542,0.0,-0.6321,-0.3018,***
Fraud/Economic,RACE_HISPANIC:FEMALE,-0.2299,0.0958,-2.399,0.0164,-0.4178,-0.0421,*
Fraud/Economic,RACE_OTHER:FEMALE,-0.1676,0.1522,-1.102,0.2706,-0.4658,0.1306,
Fraud/Economic,AGE,-0.0067,0.0014,-4.913,0.0,-0.0094,-0.004,***
Fraud/Economic,XFOLSOR,0.158,0.0027,59.229,0.0,0.1528,0.1632,***
Fraud/Economic,XCRHISSR,0.3719,0.01,37.028,0.0,0.3522,0.3916,***
Fraud/Economic,XMINSOR,-0.0001,0.0,-10.129,0.0,-0.0002,-0.0001,***
Fraud/Economic,MAND_MIN,0.2379,0.0788,3.018,0.0025,0.0834,0.3923,**
Fraud/Economic,GUILTY_PLEA,-0.068,0.0853,-0.798,0.4249,-0.2352,0.0991,
Fraud/Economic,ACCEPT_RESP,-0.3534,0.0704,-5.016,0.0,-0.4914,-0.2153,***
