Model,Variable,Coef,SE,t,p-value,CI_low,CI_high,Sig
Immigration,RACE_BLACK,0.0696,0.0564,1.234,0.2174,-0.041,0.1802,
Immigration,RACE_HISPANIC,0.1806,0.0364,4.962,0.0,0.1093,0.252,***
Immigration,RACE_OTHER,-0.0342,0.1016,-0.337,0.7364,-0.2332,0.1649,
Immigration,FEMALE,-0.1834,0.0765,-2.397,0.0165,-0.3334,-0.0335,*
Immigration,RACE_BLACK:FEMALE,-0.2089,0.1581,-1.321,0.1865,-0.5187,0.101,
Immigration,RACE_HISPANIC:FEMALE,-0.0091,0.0791,-0.116,0.9079,-0.1641,0.1458,
Immigration,RACE_OTHER:FEMALE,0.0912,0.1792,0.509,0.6109,-0.2601,0.4425,
Immigration,AGE,0.0047,0.0005,9.83,0.0,0.0037,0.0056,***
Immigration,XFOLSOR,0.1564,0.0013,120.5,0.0,0.1538,0.1589,***
Immigration,XCRHISSR,0.3081,0.0035,87.37,0.0,0.3012,0.3151,***
Immigration,XMINSOR,-0.0002,0.0,-6.271,0.0,-0.0003,-0.0002,***
Immigration,MAND_MIN,0.1115,0.0174,6.417,0.0,0.0774,0.1455,***
Immigration,GUILTY_PLEA,0.0458,0.0622,0.735,0.4621,-0.0762,0.1677,
Immigration,ACCEPT_RESP,-0.2869,0.0305,-9.423,0.0,-0.3466,-0.2273,***
