obs_index,CooksD,threshold
27,9.462102904460621e-05,2.117825205296681e-05
114,2.6564491852974492e-05,2.117825205296681e-05
128,4.359840388325964e-05,2.117825205296681e-05
135,8.55643728520414e-05,2.117825205296681e-05
150,8.090767354478287e-05,2.117825205296681e-05
161,0.0001657334995267508,2.117825205296681e-05
167,4.7328652866305164e-05,2.117825205296681e-05
214,5.798652338318815e-05,2.117825205296681e-05
231,2.8954501633361763e-05,2.117825205296681e-05
236,7.519915212072929e-05,2.117825205296681e-05
270,8.418429969307067e-05,2.117825205296681e-05
300,0.00014289981974713418,2.117825205296681e-05
311,5.5330284590515833e-05,2.117825205296681e-05
313,0.000114696754545945,2.117825205296681e-05
316,8.191238115840704e-05,2.117825205296681e-05
336,5.728003506303292e-05,2.117825205296681e-05
338,6.727607338260266e-05,2.117825205296681e-05
367,3.513010358678834e-05,2.117825205296681e-05
370,7.5565712913883e-05,2.117825205296681e-05
422,6.688560255097246e-05,2.117825205296681e-05
423,0.00011914406168248678,2.117825205296681e-05
429,3.747332936454757e-05,2.117825205296681e-05
460,3.729171600360801e-05,2.117825205296681e-05
494,4.1758141075092975e-05,2.117825205296681e-05
501,4.6406957297954505e-05,2.117825205296681e-05
521,8.819288535724823e-05,2.117825205296681e-05
548,6.128500888057873e-05,2.117825205296681e-05
589,2.7797843216203314e-05,2.117825205296681e-05
597,5.4491659261886046e-05,2.117825205296681e-05
603,6.96889042271792e-05,2.117825205296681e-05
641,0.00014674672972393173,2.117825205296681e-05
644,5.584161338865927e-05,2.117825205296681e-05
666,8.990697369767402e-05,2.117825205296681e-05
682,6.724278501119813e-05,2.117825205296681e-05
771,0.00012623130491531314,2.117825205296681e-05
777,9.33990920869641e-05,2.117825205296681e-05
790,2.6903031711987796e-05,2.117825205296681e-05
808,2.4365132192709342e-05,2.117825205296681e-05
840,4.4528070525099925e-05,2.117825205296681e-05
872,0.00011028391876969227,2.117825205296681e-05
899,0.00011358452612209147,2.117825205296681e-05
909,2.6506788347392924e-05,2.117825205296681e-05
